Race,Year,Date,Finishers,Latitude,Longitude,MEAN_PM25,MEDIAN_PM25,MAX_PM25,MIN_PM25,RH2M,T2M,T2M_MIN,T2M_MAX,T2MDEW,T2MWET,WS2M,WS2M_MIN,WS2M_MAX,ALLSKY_SFC_UV_INDEX,CLOUD_AMT_DAY,PRECTOTCORR
Louisiana Marathon,2023,1/15/23,750,30.4515,-91.1871,11.03,10.15,17.7,7.2,85.06,8.65,-0.17,16.38,6.26,7.45,1.93,0.79,2.93,0.66,44.06,0.3
Leadville Trail Marathon,2023,6/17/23,744,39.2508,-106.2925,23.295,24.1,34.1,9.3,73.48,3.26,-0.85,8.62,-1.29,0.98,0.35,0.06,0.88,1.85,85.35,4.1
Wilmington Marathon,2023,2/25/23,726,34.2257,-77.9447,6.5,6.1,7.4,6,86.06,14.4,12.08,17.25,12.07,13.24,1.69,0.32,3.05,0.38,95.94,3.46
Rockies Marathon,2023,6/3/23,711,39.5501,-105.7821,14.2020202,12.6,23.3,2.8,80.35,5.78,1.39,11.11,2.21,4,0.75,0.25,1.12,1.32,99.29,3.1
Akron Marathon,2023,9/30/23,693,41.0814,-81.5192,10.575,8.95,19.1,5.3,75.9,18.25,11.45,26.26,13.19,15.72,0.66,0.37,0.89,1.23,36.28,0
Newport Marathon (RI),2023,10/8/23,677,41.4901,-71.3128,2.7,2.7,2.7,2.7,76.57,13.95,11.43,16.88,9.73,11.84,3.07,2.35,3.49,1.04,26.1,0.22
Rhode Races Newport Marathon,2023,4/15/23,676,41.4901,-71.3128,4.6,4.6,4.6,4.6,90.19,12.74,8.83,17.81,11.09,11.91,0.98,0.44,1.31,1.26,75.12,0.48
City of Oaks Marathon,2023,11/5/23,669,35.7796,-78.6382,14.4,14.4,17.9,10.9,59.12,13.33,3.67,23.05,4.98,9.16,0.4,0.18,0.97,0.77,45.91,0
The Tunnel Lite Marathon,2023,9/10/23,664,47.3903,-121.4816,14.025,15.35,18.6,3.3,65.65,15.03,9.57,21.77,8.13,11.58,0.34,0.01,1.08,1.49,58.29,0
Mount Desert Island marathon,2023,10/15/23,650,44.3784,-68.2093,2.6,2.6,2.6,2.6,87.88,10.07,6.99,13.82,7.98,9.02,1.55,0.74,2.14,0.65,75.72,0.75
Coastal Delaware Running Festival,2023,4/16/23,633,38.7156,-75.089,NA,NA,NA,NA,90.88,16.41,14.38,20.18,14.86,15.64,2.43,1.05,4.23,1.4,67.17,0.21
Pikes Peak Marathon,2023,9/17/23,615,38.8409,-105.0423,10.4,8.7,29.5,3.1,38.93,14.25,4.22,24.33,-1.38,6.43,1.34,0.06,2.84,2.17,22.74,0.03
Asheville Marathon,2023,3/18/23,601,35.5951,-82.5515,2.266666667,2.15,3.8,1.4,66.03,2.22,-2.12,7.39,-4.18,-0.98,0.64,0.36,0.85,1.49,37.89,0.03
Mayor's Marathon,2023,6/17/23,582,61.2166,-149.8986,2.8,2.8,2.8,2.8,79.98,10.97,5.22,14.77,7.43,9.2,1.08,0.67,1.41,1.03,87.12,0.01
Jacksonville Marathon,2023,12/10/23,553,30.3322,-81.6557,4.8,4.9,4.9,4.6,94.58,18.65,10.62,21.72,17.87,18.26,0.67,0.33,1.74,0.55,91.05,8.39
Bryan-College Station Marathon,2023,12/10/23,544,30.6279,-96.3344,2.433333333,2.55,4,0.8,43.16,8.99,3.71,14.64,-3.69,2.65,2.86,0.49,4.68,0.78,0.6,0
Quad Cities Marathon,2023,9/24/23,541,41.5236,-90.5776,7.271966527,8.8,11.8,1.2,64.95,19.78,16.24,25.32,12.79,16.28,3.63,1.7,4.39,1.11,62.55,6.08
Mankato Marathon,2023,10/21/23,533,44.1636,-93.9994,3.02,3.5,4.3,1.6,69.62,10.9,5.85,16.54,5.22,8.06,4.4,1.12,7.26,0.62,48.87,0
Mercedes Marathon,2023,2/12/23,521,33.5186,-86.8104,3,2.9,4.8,1.4,85.62,5.93,1.05,13.33,3.49,4.71,0.31,0.11,0.46,0.66,54.36,3.53
Eau Claire Marathon,2023,4/30/23,516,44.8113,-91.4985,1.8,0.5,4.5,0.4,89.2,2.72,0.56,4.74,1.11,1.91,6.36,5.18,7.35,0.81,98.74,5.67
Jack and Jill's Downhill Marathon,2023,7/30/23,510,47.3903,-121.4816,5.35,4.4,9.5,3.2,82,11.96,7.96,16.48,8.69,10.33,0.06,0.02,0.23,2.2,38.37,0.09
Knoxville Marathon,2023,4/2/23,504,35.9606,-83.9207,4.053846154,4.2,6.2,0,67.89,9.28,1.96,17.27,2.74,6.01,0.58,0.14,1.05,2.13,0.49,0.03
Sugarloaf Marathon,2023,5/14/23,504,45.0712,-70.3126,1.5,1.5,1.5,1.5,68.82,6.4,1,11.36,0.62,3.51,0.41,0.34,0.48,1.66,18.41,0
26.2 with Donna: The National Marathon to Finish Breast Cancer,2023,2/5/23,500,30.2711,-81.3905,4.9,4.9,5.4,4.4,85.24,16.82,14.59,18.72,14.3,15.56,1.89,0.42,3.34,0.88,86.54,0.02
Tunnel Vision Marathon,2023,8/13/23,495,47.3903,-121.4816,4.1625,3.35,10,2.8,60.39,20.53,11.95,28.9,11.87,16.2,0.46,0.01,1.01,2.14,3.66,0
Green Bay Marathon,2023,5/21/23,494,44.5133,-88.0133,8.8,9.2,11.6,6.2,69.86,15.67,8.64,23.54,9.48,12.58,2.3,0.32,3.87,1.21,30.41,0
Moab Trail Marathon,2023,11/4/23,491,38.5733,-109.5498,10.43378378,10.7,14.8,3.2,40.21,11.95,6.48,19.25,-1.61,5.17,1.22,0.44,2.19,0.81,9.73,0
Two Cities Marathon,2023,11/5/23,481,36.8252,-119.7029,17.09,15.75,31.6,4.6,42.88,20.03,13.39,27.59,5.56,12.8,0.84,0.17,1.88,0.89,51.86,0.01
Martha's Vineyard Marathon,2023,5/20/23,480,41.38,-70.6455,NA,NA,NA,NA,92.64,14.47,12.4,15.88,13.31,13.89,6.38,2.92,10.12,1.01,99.2,42.74
Mississippi Gulf Coast Marathon,2023,12/10/23,478,30.3953,-88.8853,3.75,3.85,4.9,0.8,81.3,13.1,7.04,18.17,9.93,11.51,5.02,2.04,7.95,0.53,70.16,12.93
Duke City Marathon,2023,10/22/23,476,35.0844,-106.6504,7.777952756,6,14.8,4.4,22.89,18.74,10.85,27.81,-4.25,7.25,1.66,0.86,2.94,1.5,3.42,0
Seven Bridges Marathon,2023,10/15/23,476,35.0456,-85.3097,2.09787234,2.2,2.5,1.5,64.74,13.95,7.76,19.11,6.84,10.4,0.56,0.3,0.91,0.62,86.63,0.33
Oakland Marathon Running Festival,2023,3/19/23,471,37.8044,-122.2711,4.883333333,4.9,8.7,2.1,92.78,10.78,9.82,11.86,9.67,10.23,2.86,1.79,4.11,0.71,97.6,13.18
Harrisburg Marathon,2023,11/12/23,463,40.2732,-76.8867,6.133333333,6.1,8.5,4.4,74.15,2.25,-1.88,9.2,-2.56,-0.16,0.42,0.22,0.86,0.45,41.31,0
Ft. Lauderdale A1A Marathon,2023,2/19/23,460,26.1224,-80.1373,10,10,13,7,78.68,24.97,23.97,26.14,21.02,22.99,3.32,2.1,5.13,1.41,37.01,0.12
Mo Cowbell Marathon,2023,10/1/23,457,38.7875,-90.4826,8.668181818,8.5,12.2,5.8,58,22.74,15.88,31.29,12.75,17.75,1.54,0.92,2.47,1.59,0.43,0
Delaware Marathon,2023,4/23/23,454,39.7391,-75.5398,5.266666667,5.2,6,4.5,67.49,13.68,7.77,18.84,7.33,10.5,3.84,2.66,6.11,1.64,40.8,5.23
Palm Beaches Marathon Festival,2023,12/10/23,454,26.7153,-80.0534,NA,NA,NA,NA,82.24,24.87,23.68,26.76,21.59,23.23,4.14,3.17,5.75,0.86,62.3,1.78
Chicagoland Marathon,2023,5/7/23,452,41.85,-87.65,3.52,3.3,5.3,2,93.64,13.47,7.25,19.14,12.44,12.96,3.44,1.64,5.47,1.89,37.12,1.57
Manchester City Marathon,2023,11/12/23,452,42.9956,-71.4548,7.4,7.4,7.4,7.4,80.87,-1.34,-4.57,4.68,-4.68,-3.01,0.23,0.1,0.67,0.33,38.85,0
Fox Valley Marathon,2023,9/17/23,447,41.9142,-88.3087,7.153846154,7.3,9.9,4.6,83.51,15.8,12.32,20.75,12.8,14.3,2.35,1.1,4.17,0.7,91.44,12.01
Mohawk-Hudson River Marathon,2023,10/8/23,438,42.6526,-73.7562,2.18,2.1,2.4,1.9,80.36,10.33,6.54,15.33,6.74,8.54,0,0,0,0.84,70.95,1.18
Garmin Marathon (prev. Oz Marathon),2023,4/22/23,432,38.8999,-94.6897,9.0125,8.1,16.5,2,60.81,5.39,0.78,11.17,-2.11,1.64,3.83,1.09,6.35,1.3,64.61,0.01
Long Island Marathon,2023,5/7/23,430,40.7326,-73.5896,NA,NA,NA,NA,81.36,14.69,10.79,18.32,11.35,13.02,2.91,1.41,4.73,1.68,44.3,0.39
Marquette Marathon,2023,9/2/23,425,46.5476,-87.3956,4.9,4.9,4.9,4.9,72.57,21.26,16.47,28.01,15.82,18.54,1.16,0.69,2.26,1.45,44.18,0.08
Irving Marathon,2023,4/1/23,421,32.814,-96.9489,10.125,10.1,11.1,9.3,49.96,15.26,8.6,22.4,4.42,9.84,2.71,0.88,4.94,2.46,52.49,0
Charlevoix Marathon,2023,6/17/23,416,45.3181,-85.2584,NA,NA,NA,NA,73.68,14.4,8.63,17.62,9.47,11.93,1.59,0.57,2.25,2.05,24.83,0
The Cheap! Marathon,2023,4/16/23,408,42.7306,-71.1634,6.5,6.2,8.2,5.1,89.49,11.4,8.03,16.55,9.62,10.51,0.39,0.3,0.55,0.92,76.09,0.8
Fox Cities Marathon,2023,9/17/23,403,44.2619,-88.4154,6.66,7.3,8.6,4.7,74.91,16.08,11.77,21.12,11,13.54,3,1.98,3.88,1.12,46.52,0.13
